shortname,url,amcert,longname,description,urn,cacert,type,category,speaksfor
tamu-eg,https://tamu-hn.exogeni.net:11443/orca/xmlrpc,tamu-eg.pem,Texas A&M ExoGENI,Texas A&M ExoGENI Rack,urn:publicid:IDN+exogeni.net:tamuvmsite+authority+am,tamu-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
tamu-eg-of,https://tamu-hn.exogeni.net:3626/foam/gapi/2,tamu-eg-of.pem,Texas A&M ExoGENI OpenFlow,Texas A&M ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:tamu-hn.exogeni.net+authority+am,tamu-eg-of.pem,ui_foam_am,ui_experimental_cat ui_network_cat,N
ucdavis-eg,https://ucd-hn.exogeni.net:11443/orca/xmlrpc,ucdavis-eg.pem,UC Davis ExoGENI,UC Davis ExoGENI Rack,urn:publicid:IDN+exogeni.net:ucdvmsite+authority+am,ucdavis-eg.pem,ui_exogeni_am,ui_prod_cat ui_compute_cat,Y
ucdavis-eg-of,https://ucd-hn.exogeni.net:3626/foam/gapi/2,ucdavis-eg-of.pem,UC Davis ExoGENI OpenFlow,UC Davis ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:ucd-hn.exogeni.net+authority+am,ucdavis-eg-of.pem,ui_foam_am,ui_experimental_cat ui_network_cat,N
uchicago-ig,https://geni.uchicago.edu:12369/protogeni/xmlrpc/am/2.0,uchicago-ig-cm.pem,University of Chicago InstaGENI,University of Chicago InstaGENI Rack,urn:publicid:IDN+geni.uchicago.edu+authority+cm,uchicago-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
uchicago-ig-of,https://foam.geni.uchicago.edu:3626/foam/gapi/2,uchicago-ig-of.pem,University of Chicago InstaGENI OpenFlow,University of Chicago InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.geni.uchicago.edu+authority+am,uchicago-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
ucla-ig,https://instageni.idre.ucla.edu:12369/protogeni/xmlrpc/am/2.0,ucla-ig-cm.pem,UCLA InstaGENI,UCLA InstaGENI Rack,urn:publicid:IDN+instageni.idre.ucla.edu+authority+cm,ucla-ig-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
ucla-ig-of,https://foam.instageni.idre.ucla.edu:3626/foam/gapi/2,ucla-ig-of.pem,UCLA InstaGENI OpenFlow,UCLA InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.instageni.idre.ucla.edu+authority+am,ucla-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
ufl-eg,https://ufl-hn.exogeni.net:11443/orca/xmlrpc,ufl-eg.pem,UFL ExoGENI,UFL ExoGENI Rack,urn:publicid:IDN+exogeni.net:uflvmsite+authority+am,ufl-eg.pem,ui_exogeni_am,ui_dev_cat ui_compute_cat,Y
ufl-eg-of,https://ufl-hn.exogeni.net:3626/foam/gapi/2,ufl-eg-of.pem,UFL ExoGENI OpenFlow,UFL ExoGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:ufl-hn.exogeni.net+authority+am,ufl-eg-of.pem,ui_foam_am,ui_dev_cat ui_network_cat,N
uky-ig,https://boss.lan.sdn.uky.edu:12369/protogeni/xmlrpc/am/2.0,ig-ky-cm.pem,Kentucky InstaGENI,InstaGENI Kentucky Rack,urn:publicid:IDN+lan.sdn.uky.edu+authority+cm,ig-ky-boss.pem,ui_instageni_am,ui_prod_cat ui_compute_cat ui_stitchable_cat,Y
uky-ig-of,https://foam.lan.sdn.uky.edu:3626/foam/gapi/2,uky-ig-of.pem,Kentucky InstaGENI OpenFlow,University of Kentucky InstaGENI Rack OpenFlow,urn:publicid:IDN+openflow:foam:foam.lan.sdn.uky.edu+authority+am,uky-ig-of.pem,ui_foam_am,ui_prod_cat ui_network_cat,N
